SC_0.8_mean,SC_0.9_mean,SC_0.95_mean,SC_1_mean,SC_0.8_var,SC_0.9_var,SC_0.95_var,SC_1_var
10.5,16.4,19.2,25.4,70.27777777777777,72.93333333333334,95.95555555555558,101.15555555555554
18.8,24.8,27.5,33.5,103.51111111111112,138.84444444444443,162.27777777777777,150.05555555555554
14.9,21.6,25.8,30.7,66.32222222222224,102.93333333333332,114.40000000000002,124.89999999999996
25.4,32.4,37.4,41.6,508.711111111111,513.1555555555556,460.71111111111117,421.1555555555555
14.3,22.8,26.6,33.1,180.23333333333332,99.7333333333333,106.71111111111111,130.54444444444445
13.4,20.2,23.7,30.4,97.82222222222222,129.5111111111111,110.9,106.4888888888889
14.2,20.0,23.5,29.3,165.06666666666666,212.88888888888889,234.5,192.45555555555555
11.0,18.6,22.1,27.7,62.0,156.4888888888889,214.32222222222225,230.89999999999998
11.0,20.7,24.1,30.9,44.22222222222222,100.9,118.10000000000001,116.54444444444445
15.1,20.7,24.6,31.4,146.98888888888888,196.45555555555558,215.60000000000002,177.15555555555557
14.0,23.0,25.6,32.0,98.66666666666667,130.2222222222222,143.82222222222222,131.55555555555554
16.0,24.8,28.4,35.1,162.88888888888889,251.06666666666666,236.7111111111111,250.98888888888885
13.3,20.1,22.8,27.0,112.9,128.1,114.17777777777776,148.0
10.8,19.8,22.1,28.0,39.28888888888889,84.84444444444443,76.76666666666668,112.0
14.6,21.5,23.1,29.8,100.26666666666667,113.61111111111113,108.10000000000001,103.73333333333333
13.4,19.9,23.1,29.8,96.26666666666671,89.43333333333334,102.32222222222222,131.28888888888886
19.8,24.9,28.2,32.6,203.95555555555555,172.54444444444442,180.62222222222215,203.15555555555557
9.5,14.8,19.2,24.0,20.722222222222225,35.28888888888889,37.06666666666667,22.888888888888875
13.8,20.4,23.5,29.9,69.28888888888888,88.48888888888888,114.05555555555556,103.65555555555555
11.0,21.0,24.9,29.3,43.11111111111112,124.0,130.76666666666668,138.67777777777778
19.3,26.0,28.9,37.0,366.23333333333335,299.77777777777777,308.9888888888888,346.0
16.0,20.5,23.2,29.8,118.44444444444444,116.05555555555556,103.95555555555556,132.17777777777778
19.5,25.7,28.3,35.0,117.38888888888889,141.7888888888889,150.67777777777778,178.44444444444446
13.6,20.7,23.7,29.3,146.04444444444442,104.45555555555558,95.56666666666666,91.1222222222222
13.2,19.8,23.4,29.4,62.17777777777778,80.62222222222222,126.48888888888888,124.04444444444445
16.6,20.9,24.2,30.8,37.15555555555555,66.76666666666668,48.84444444444445,49.73333333333332
19.9,25.4,28.3,32.5,136.09999999999997,186.7111111111111,155.1222222222222,176.72222222222223
12.3,17.3,21.3,26.3,73.34444444444445,85.34444444444443,88.67777777777778,104.89999999999999
16.1,22.8,25.9,32.0,76.54444444444444,107.95555555555556,116.10000000000001,98.66666666666667
12.3,18.9,21.7,27.4,121.34444444444446,214.10000000000002,195.34444444444446,188.48888888888885
15.6,21.3,25.2,30.2,76.26666666666667,90.67777777777779,103.95555555555556,131.28888888888886
11.6,18.7,21.6,26.7,20.48888888888889,61.34444444444445,69.82222222222222,85.78888888888889
9.4,15.3,18.6,23.7,25.822222222222212,27.34444444444445,31.155555555555548,45.56666666666666
17.2,24.1,27.1,31.4,156.39999999999998,122.9888888888889,132.3222222222222,141.60000000000002
21.4,28.3,30.5,37.2,199.6,201.3444444444445,204.72222222222223,290.62222222222215
16.1,21.6,25.2,30.6,339.65555555555557,350.9333333333333,374.8444444444444,429.82222222222225
18.7,27.0,30.6,36.3,235.34444444444443,238.88888888888889,326.0444444444444,323.78888888888883
18.2,25.5,27.8,34.9,143.73333333333335,168.05555555555554,176.17777777777778,177.87777777777782
16.7,20.9,24.4,29.5,127.78888888888888,129.43333333333334,164.26666666666665,164.5
14.4,19.7,23.3,27.6,85.6,88.01111111111112,84.23333333333333,95.82222222222222
17.5,24.2,27.4,32.0,204.94444444444446,193.06666666666666,202.7111111111111,203.33333333333334
11.7,18.3,20.9,26.4,96.23333333333332,92.9,89.65555555555558,90.26666666666668
14.9,22.5,27.5,32.7,113.65555555555557,97.61111111111111,145.38888888888889,133.56666666666666
9.7,16.1,19.0,25.4,53.56666666666667,82.98888888888888,90.22222222222223,89.82222222222222
9.2,14.5,18.3,23.8,40.62222222222223,52.055555555555564,63.34444444444445,59.955555555555556
11.9,17.6,20.4,26.1,78.1,80.7111111111111,72.26666666666667,67.65555555555554
9.3,14.6,18.6,24.5,64.67777777777776,88.48888888888888,85.82222222222222,97.38888888888887
18.5,23.7,27.0,33.5,74.05555555555557,90.23333333333333,135.11111111111111,158.49999999999997
16.5,22.9,25.8,33.4,48.27777777777778,63.65555555555555,94.17777777777778,81.82222222222222
11.6,19.3,23.0,29.5,43.15555555555555,94.67777777777776,72.22222222222223,71.38888888888889
12.4,19.2,22.9,29.2,23.599999999999998,29.06666666666667,29.211111111111123,52.84444444444445
14.6,21.1,25.0,31.4,94.26666666666665,116.76666666666665,97.55555555555556,104.7111111111111
19.3,24.6,27.3,33.3,211.34444444444446,244.26666666666668,232.89999999999998,310.90000000000003
14.8,22.8,26.9,33.7,30.622222222222224,47.73333333333333,44.988888888888894,36.23333333333333
12.8,18.1,21.3,28.4,85.06666666666666,66.98888888888888,93.56666666666666,120.04444444444445
11.0,17.3,20.4,25.7,46.44444444444444,68.01111111111112,82.71111111111111,66.67777777777778
16.7,22.7,25.9,32.8,169.7888888888889,184.23333333333332,178.32222222222225,173.51111111111106
15.3,21.4,24.9,28.5,177.12222222222223,157.82222222222222,139.43333333333334,136.72222222222223
26.0,32.5,35.7,41.9,486.22222222222223,530.5,520.4555555555556,448.1
9.2,17.8,21.2,28.3,141.73333333333335,174.4,176.84444444444443,196.9
19.2,26.6,29.6,36.0,316.6222222222222,376.0444444444445,383.8222222222222,425.77777777777777
16.4,21.8,24.2,30.6,57.37777777777777,72.4,86.84444444444446,90.04444444444444
13.6,20.3,23.4,28.5,86.93333333333334,151.12222222222223,152.48888888888888,178.94444444444446
11.2,15.8,19.3,23.8,24.62222222222222,32.400000000000006,38.011111111111106,42.400000000000006
14.6,20.3,23.4,28.6,71.15555555555555,86.01111111111112,86.04444444444444,97.6
19.5,27.0,28.7,35.5,396.27777777777777,430.6666666666667,432.23333333333335,390.0555555555556
15.3,22.2,27.7,35.3,204.45555555555555,190.1777777777778,203.1222222222222,176.01111111111106
16.4,22.2,25.5,34.1,89.15555555555555,72.4,134.94444444444446,132.54444444444445
16.2,22.9,26.2,31.0,193.95555555555552,205.2111111111111,192.1777777777778,248.66666666666666
11.0,17.7,20.4,26.8,60.0,96.23333333333335,79.6,69.73333333333335
16.8,24.4,26.8,33.4,154.62222222222223,176.04444444444445,182.39999999999998,186.93333333333334
7.0,13.5,17.0,23.4,12.666666666666668,46.72222222222223,40.0,43.82222222222222
9.0,13.2,16.6,20.9,18.88888888888889,19.288888888888888,31.15555555555555,35.65555555555556
13.5,21.2,24.6,31.1,47.388888888888886,124.62222222222223,131.82222222222222,97.87777777777778
14.8,21.2,23.5,29.3,110.84444444444445,128.39999999999998,131.3888888888889,148.0111111111111
11.7,19.1,22.3,30.3,29.566666666666677,40.98888888888889,40.900000000000006,78.67777777777776
13.3,19.5,23.2,27.1,40.01111111111111,21.833333333333332,23.066666666666666,29.65555555555556
12.8,19.7,22.3,27.1,86.17777777777778,163.7888888888889,167.1222222222222,185.87777777777777
16.4,23.2,28.1,35.9,196.04444444444445,204.84444444444443,268.76666666666665,318.9888888888889
10.5,17.7,19.8,25.1,44.72222222222222,37.34444444444445,39.2888888888889,54.1
14.5,23.8,27.9,33.4,90.5,209.95555555555552,199.43333333333334,225.15555555555557
10.9,17.1,19.7,26.6,101.43333333333334,118.32222222222224,102.89999999999999,128.26666666666668
12.9,17.8,22.3,27.6,32.544444444444444,47.06666666666667,38.67777777777778,33.599999999999994
13.8,20.5,23.4,28.6,79.95555555555556,103.3888888888889,106.26666666666667,91.6
8.4,14.0,16.9,20.7,25.15555555555556,30.0,21.655555555555555,29.12222222222222
12.8,20.5,22.9,27.5,65.95555555555556,84.72222222222223,119.43333333333334,121.83333333333333
10.3,15.5,19.8,23.7,40.011111111111106,57.388888888888886,84.40000000000002,69.34444444444445
14.6,21.6,24.7,31.7,104.26666666666667,112.71111111111111,117.34444444444449,112.45555555555553
9.7,16.2,18.7,24.9,38.455555555555556,49.28888888888888,64.9,76.54444444444442
13.1,20.6,24.8,31.2,60.32222222222222,54.93333333333334,42.17777777777777,78.17777777777778
11.1,16.0,18.9,25.0,49.65555555555555,46.44444444444444,48.1,76.2222222222222
12.1,19.2,23.4,27.8,95.65555555555554,113.06666666666666,113.60000000000001,105.51111111111112
20.7,25.3,28.1,33.6,263.1222222222222,249.1222222222222,265.4333333333333,285.37777777777774
13.3,17.8,20.7,26.9,82.01111111111112,91.06666666666666,82.45555555555556,109.43333333333332
7.5,15.4,19.4,25.8,21.388888888888886,63.82222222222222,62.266666666666666,72.84444444444442
17.0,21.8,24.8,32.2,120.00000000000003,129.5111111111111,152.84444444444446,189.06666666666666
11.7,18.9,21.8,28.0,50.67777777777778,35.43333333333335,33.955555555555556,30.22222222222222
11.8,18.2,21.4,26.8,62.84444444444445,63.06666666666667,80.93333333333334,64.17777777777778
11.1,15.8,18.7,25.7,34.32222222222222,59.28888888888889,62.900000000000006,64.9
12.1,17.7,21.0,26.1,27.877777777777773,19.566666666666666,14.666666666666666,11.433333333333332
12.4,17.4,20.6,24.9,49.15555555555555,42.93333333333333,43.6,37.87777777777777
13.8,19.4,22.7,27.7,143.95555555555555,129.15555555555554,147.34444444444446,185.3444444444444
13.0,20.2,23.1,27.7,33.55555555555556,52.17777777777778,46.1,39.12222222222223
15.4,21.6,25.0,31.3,55.37777777777778,59.82222222222223,52.222222222222214,44.90000000000003
11.9,18.0,21.3,26.2,49.87777777777777,62.0,52.900000000000006,52.17777777777778
16.8,22.7,26.2,32.4,117.73333333333332,126.23333333333332,112.39999999999998,132.7111111111111
17.7,24.3,27.4,34.9,244.23333333333332,260.4555555555555,259.1555555555555,200.32222222222222
11.8,19.5,22.2,25.9,52.62222222222222,100.27777777777777,104.62222222222223,106.09999999999998
15.5,21.9,24.8,31.0,82.05555555555556,56.100000000000016,77.51111111111112,65.77777777777777
11.8,18.8,21.1,27.3,34.84444444444445,31.95555555555556,30.76666666666667,36.900000000000006
17.3,23.4,27.5,32.1,188.67777777777778,223.60000000000002,196.7222222222222,207.2111111111111
17.6,23.2,26.4,31.2,190.93333333333334,217.73333333333332,210.04444444444448,216.39999999999998
12.8,22.0,24.1,29.2,157.95555555555552,175.33333333333334,192.9888888888889,225.06666666666666
11.1,16.0,20.6,27.8,113.87777777777777,94.44444444444444,84.48888888888888,103.95555555555558
12.8,19.8,22.1,29.9,76.4,119.28888888888888,120.09999999999998,122.9888888888889
13.9,18.5,21.3,27.6,53.21111111111111,55.166666666666664,60.89999999999999,62.266666666666666
14.1,20.4,23.1,29.1,234.76666666666668,237.82222222222222,374.5444444444445,335.4333333333334
16.0,22.7,24.7,30.3,249.55555555555554,257.1222222222222,260.23333333333335,225.56666666666666
10.9,17.1,21.6,28.0,72.98888888888888,50.76666666666668,40.044444444444444,45.11111111111111
11.7,19.4,21.5,27.3,96.01111111111112,90.26666666666668,84.94444444444444,91.56666666666666
10.5,16.1,18.7,23.9,68.05555555555556,96.1,95.7888888888889,86.1
13.4,20.6,23.6,29.6,61.15555555555555,93.6,108.26666666666667,85.37777777777778
10.3,16.5,19.8,25.1,58.89999999999999,54.94444444444444,53.733333333333334,51.43333333333332
13.0,19.7,22.8,28.0,89.33333333333333,104.90000000000003,117.95555555555558,158.66666666666666
11.4,16.2,20.3,27.7,37.599999999999994,53.95555555555555,70.23333333333332,62.89999999999999
10.9,15.4,18.1,22.4,63.655555555555566,62.48888888888889,66.98888888888888,72.04444444444445
12.9,21.0,24.8,30.2,63.65555555555555,150.0,123.51111111111112,131.06666666666666
18.7,24.1,26.5,32.8,149.12222222222223,185.65555555555554,192.05555555555554,184.17777777777775
12.2,19.5,22.7,30.0,33.066666666666656,52.72222222222222,58.45555555555555,62.44444444444444
15.6,22.7,25.8,30.9,80.26666666666665,114.01111111111112,106.84444444444446,97.65555555555557
11.2,21.7,25.3,33.1,52.84444444444445,122.23333333333335,134.45555555555558,129.65555555555554
12.7,24.9,28.2,32.9,129.7888888888889,233.8777777777778,256.62222222222226,266.1
13.5,20.1,22.9,26.4,35.166666666666664,57.87777777777777,68.98888888888888,72.26666666666668
15.6,25.0,27.1,33.8,44.71111111111111,175.11111111111111,169.2111111111111,219.95555555555558
13.2,19.5,23.5,31.0,98.17777777777775,144.49999999999997,162.5,141.55555555555554
11.9,19.9,22.5,27.5,65.2111111111111,292.5444444444445,284.72222222222223,302.0555555555556
12.9,16.5,18.5,23.3,22.322222222222226,26.055555555555557,23.833333333333332,35.12222222222223
18.1,28.6,33.3,38.0,164.76666666666668,207.60000000000002,228.89999999999998,188.0
7.8,12.9,16.2,22.3,6.177777777777779,11.211111111111112,14.844444444444447,28.45555555555556
14.1,22.4,26.2,30.7,176.76666666666668,204.26666666666665,225.73333333333338,198.89999999999998
14.8,24.1,26.0,33.2,26.177777777777777,54.54444444444444,66.44444444444444,61.95555555555557
17.9,23.7,27.3,33.1,184.54444444444445,187.34444444444446,188.89999999999998,213.65555555555557
20.6,26.1,29.5,35.1,102.26666666666668,117.8777777777778,152.5,176.76666666666665
12.0,17.9,21.4,27.1,37.77777777777778,69.8777777777778,61.599999999999994,109.43333333333334
19.7,29.1,32.4,37.4,114.01111111111112,132.76666666666668,122.4888888888889,139.37777777777782
13.4,20.6,23.6,30.4,52.93333333333333,145.60000000000002,156.04444444444442,168.4888888888889
9.2,18.3,21.5,26.3,104.6222222222222,109.78888888888889,127.16666666666667,157.5666666666667
12.7,19.7,22.4,27.5,14.233333333333336,85.78888888888892,76.48888888888888,88.27777777777777
12.9,20.4,22.7,28.9,56.544444444444444,59.82222222222222,56.01111111111111,80.54444444444441
11.8,19.1,21.9,28.1,85.06666666666666,168.5444444444444,161.4333333333333,206.54444444444445
15.7,22.9,25.7,32.7,81.34444444444446,68.1,67.1222222222222,117.12222222222223
13.8,19.9,22.9,28.5,82.62222222222222,91.43333333333334,75.65555555555552,91.38888888888889
8.9,14.8,18.0,23.0,33.43333333333334,39.28888888888889,51.111111111111114,50.44444444444444
16.9,21.4,25.2,30.7,202.54444444444445,217.15555555555557,227.5111111111111,213.7888888888889
13.9,22.0,24.2,29.6,66.98888888888888,102.44444444444447,88.17777777777776,85.6
12.2,19.2,23.1,29.9,28.84444444444445,69.73333333333333,82.76666666666667,70.09999999999997
15.9,22.2,25.7,31.7,117.8777777777778,128.84444444444443,170.23333333333332,180.23333333333335
9.9,15.3,17.6,23.3,32.544444444444444,61.78888888888889,55.15555555555555,58.45555555555555
13.6,20.0,23.5,29.4,184.93333333333334,231.11111111111111,240.72222222222223,216.26666666666668
16.1,22.6,25.3,29.2,215.2111111111111,169.15555555555557,159.56666666666666,141.73333333333332
9.5,16.0,18.5,24.5,32.05555555555556,30.88888888888889,33.611111111111114,37.833333333333336
12.8,18.8,22.3,28.9,58.400000000000006,74.39999999999999,85.78888888888889,60.32222222222222
15.7,22.0,25.5,32.2,78.67777777777776,104.22222222222221,134.27777777777777,188.62222222222218
14.5,21.0,25.7,32.0,157.83333333333334,168.66666666666666,143.34444444444443,180.88888888888889
19.1,28.2,31.9,38.7,224.9888888888889,401.5111111111112,383.21111111111105,393.3444444444445
10.3,14.1,16.6,24.5,30.011111111111113,34.76666666666667,35.82222222222222,47.16666666666666
10.7,15.3,19.6,26.4,90.45555555555555,66.45555555555555,56.48888888888889,69.15555555555555
18.2,27.1,30.5,38.5,152.84444444444443,88.98888888888888,89.61111111111111,110.27777777777777
16.8,23.8,26.3,31.4,171.95555555555558,207.2888888888889,185.7888888888889,205.3777777777778
12.7,17.9,22.0,26.4,96.67777777777779,107.65555555555558,85.33333333333333,107.15555555555555
16.5,21.4,25.1,30.8,184.94444444444446,202.04444444444445,210.3222222222222,167.95555555555555
15.7,23.0,25.3,29.9,136.0111111111111,153.77777777777777,141.5666666666667,136.7666666666667
13.8,21.3,24.5,30.4,167.73333333333332,159.1222222222222,170.05555555555554,125.59999999999998
14.4,19.4,23.4,28.9,165.37777777777782,158.04444444444445,156.93333333333337,201.4333333333333
15.6,22.7,25.8,32.4,119.15555555555557,154.23333333333332,171.2888888888889,162.04444444444445
14.3,21.3,23.7,31.7,65.34444444444443,69.56666666666665,70.2333333333333,130.67777777777778
14.1,21.1,25.7,30.7,83.21111111111112,134.76666666666665,110.0111111111111,109.34444444444443
14.2,19.9,25.3,30.9,121.5111111111111,123.43333333333332,170.23333333333335,162.32222222222222
15.0,19.2,23.4,30.8,124.66666666666664,125.28888888888885,130.26666666666662,159.2888888888889
16.7,23.1,26.8,31.0,202.45555555555555,206.32222222222222,216.6222222222222,202.66666666666666
15.2,21.9,25.1,31.6,75.5111111111111,77.65555555555555,73.43333333333334,87.37777777777778
23.8,28.1,31.3,39.5,210.8444444444445,232.98888888888894,236.67777777777778,305.8333333333333
11.9,18.4,22.0,29.0,101.87777777777778,152.26666666666662,160.22222222222223,185.1111111111111
15.4,22.8,27.1,33.4,187.82222222222222,187.2888888888889,234.54444444444445,219.60000000000002
13.6,20.6,23.4,28.8,129.60000000000002,170.9333333333333,148.26666666666665,182.84444444444443
22.1,27.4,29.2,35.8,105.87777777777778,138.4888888888889,159.73333333333335,182.84444444444443
13.3,21.5,25.8,31.6,59.56666666666667,75.38888888888889,85.95555555555555,150.7111111111111
13.2,19.3,22.1,27.5,130.84444444444443,113.34444444444443,109.65555555555554,102.94444444444444
10.5,14.7,17.8,23.0,42.5,45.56666666666667,48.84444444444445,43.55555555555556
22.0,28.9,31.2,37.6,329.3333333333333,297.21111111111105,278.4,282.9333333333333
14.2,23.8,27.0,32.7,66.84444444444445,88.84444444444443,86.0,72.89999999999999
13.6,21.3,23.8,29.9,120.26666666666665,134.23333333333335,144.84444444444443,176.54444444444442
13.8,19.7,22.3,26.9,54.84444444444445,80.45555555555552,82.45555555555558,77.43333333333334
12.5,18.1,21.6,27.0,88.94444444444443,75.65555555555554,77.37777777777778,105.55555555555556
8.5,14.2,17.2,24.6,20.499999999999996,34.84444444444445,34.4,49.15555555555556
21.9,33.2,37.3,43.6,257.21111111111105,327.2888888888889,366.0111111111112,385.82222222222225
10.0,18.0,21.1,27.8,36.666666666666664,33.111111111111114,26.54444444444444,29.28888888888889
13.6,18.1,20.7,28.0,106.48888888888887,96.32222222222222,98.23333333333332,117.33333333333333
14.1,21.1,25.3,32.1,83.65555555555557,92.32222222222222,89.34444444444445,108.54444444444444
12.0,18.1,20.9,26.9,55.77777777777777,59.21111111111111,64.76666666666667,74.54444444444442
12.9,16.6,19.9,24.2,63.43333333333333,71.15555555555555,77.21111111111111,71.5111111111111
8.6,14.1,17.3,21.9,30.711111111111116,40.98888888888889,58.455555555555556,70.98888888888888
17.6,22.6,25.7,29.7,134.26666666666665,128.04444444444445,131.56666666666666,125.34444444444446
7.9,16.3,18.1,23.8,21.87777777777778,49.344444444444434,49.211111111111116,70.39999999999998
16.0,22.6,26.3,31.2,79.33333333333333,104.48888888888888,130.23333333333332,143.73333333333335
14.9,22.3,24.9,31.6,225.87777777777782,273.5666666666667,259.43333333333334,243.37777777777785
12.4,17.2,21.6,26.9,114.71111111111112,112.4,119.15555555555557,166.9888888888889
14.3,20.8,24.5,32.0,151.12222222222223,142.84444444444443,142.94444444444446,123.77777777777776
10.8,19.7,22.0,28.7,49.28888888888889,180.6777777777778,179.11111111111114,196.67777777777775
17.4,22.3,25.2,30.2,216.04444444444445,180.01111111111112,186.39999999999998,176.17777777777775
14.4,22.2,24.4,30.7,116.26666666666668,186.1777777777778,152.7111111111111,174.67777777777775
6.4,15.7,18.5,25.1,11.377777777777778,54.01111111111111,41.833333333333336,58.322222222222244
11.3,16.3,20.1,25.5,58.455555555555556,68.01111111111112,76.1,65.61111111111111
21.5,25.6,29.4,36.2,231.16666666666666,194.48888888888894,206.7111111111111,231.06666666666672
13.6,19.9,23.8,30.4,171.15555555555554,196.98888888888882,183.0666666666667,184.48888888888885
11.4,20.4,23.9,28.9,163.37777777777777,205.15555555555557,243.43333333333325,223.2111111111111
14.9,22.3,26.4,31.8,86.76666666666667,86.45555555555556,109.59999999999998,132.6222222222222
13.5,21.0,24.0,29.8,80.5,144.66666666666666,134.44444444444446,135.06666666666666
12.3,18.0,21.6,26.4,121.56666666666663,123.11111111111111,117.82222222222221,120.04444444444445
12.8,18.1,21.0,26.8,76.17777777777779,69.87777777777778,69.77777777777777,89.06666666666666
15.6,22.8,27.9,32.4,105.6,97.06666666666666,127.8777777777778,127.82222222222221
9.7,19.3,22.9,29.0,74.89999999999999,160.0111111111111,174.54444444444445,158.66666666666666
18.0,23.5,27.1,35.0,162.66666666666666,204.05555555555554,202.3222222222222,204.66666666666666
11.3,17.5,20.4,28.8,59.78888888888889,69.38888888888889,48.044444444444444,118.39999999999999
18.0,23.3,26.2,31.2,113.55555555555556,94.9,117.28888888888893,104.1777777777778
14.9,19.1,23.1,29.4,52.76666666666668,49.87777777777778,67.21111111111112,83.37777777777777
15.5,21.9,25.2,30.5,154.05555555555554,189.43333333333334,190.84444444444443,194.94444444444443
13.2,18.6,22.0,26.0,52.62222222222223,42.93333333333332,35.99999999999999,31.555555555555557
13.4,20.9,23.9,30.5,105.82222222222224,211.65555555555557,207.4333333333333,273.3888888888889
10.6,15.0,19.8,26.7,115.15555555555554,103.33333333333334,106.84444444444448,83.34444444444446
11.5,17.4,20.8,25.6,58.72222222222222,51.15555555555555,71.2888888888889,68.4888888888889
10.6,15.9,19.7,23.8,34.26666666666666,42.099999999999994,32.67777777777778,35.51111111111111
12.1,17.1,20.4,25.6,80.54444444444444,98.54444444444442,104.26666666666668,94.4888888888889
15.3,22.4,25.7,31.0,88.0111111111111,83.37777777777778,85.12222222222222,63.1111111111111
13.2,18.2,22.1,28.1,40.84444444444445,57.28888888888889,43.87777777777777,52.1
10.9,19.1,21.3,28.1,17.877777777777776,37.65555555555554,42.011111111111106,38.544444444444444
11.3,16.2,19.0,23.5,66.01111111111112,78.17777777777776,99.55555555555556,146.94444444444446
11.5,17.8,20.2,25.8,33.388888888888886,34.84444444444445,30.844444444444434,31.95555555555556
13.6,19.8,23.0,28.6,26.71111111111111,71.95555555555556,88.66666666666666,80.93333333333334
13.7,18.1,21.3,26.8,120.89999999999999,140.3222222222222,140.9,178.6222222222222
14.6,22.5,26.3,31.5,84.26666666666667,95.83333333333333,107.7888888888889,134.7222222222222
14.3,19.7,22.5,29.0,201.7888888888889,198.01111111111112,191.16666666666666,219.1111111111111
12.7,18.2,20.5,27.1,89.56666666666666,144.62222222222223,144.05555555555554,146.32222222222222
9.3,14.0,15.9,23.1,59.34444444444445,66.22222222222223,68.76666666666665,90.10000000000001
10.6,18.9,22.0,27.9,72.48888888888888,97.8777777777778,80.88888888888889,86.09999999999998
18.2,24.2,26.6,31.5,149.51111111111106,190.84444444444446,173.6,203.16666666666666
14.2,19.4,24.1,31.9,85.73333333333335,89.37777777777777,113.65555555555555,97.65555555555557
17.0,22.5,27.2,33.8,153.11111111111111,136.05555555555554,113.95555555555555,123.73333333333332
10.6,16.4,18.8,24.9,24.93333333333333,35.82222222222222,38.400000000000006,56.54444444444445
16.6,21.2,24.7,30.8,114.71111111111112,147.95555555555555,170.23333333333332,156.4
12.9,19.7,24.2,30.3,50.76666666666667,49.34444444444445,45.28888888888889,47.122222222222234
19.1,24.8,27.9,32.5,90.1,141.06666666666666,140.3222222222222,152.5
19.4,24.7,27.5,31.9,236.48888888888885,236.45555555555555,224.94444444444446,206.98888888888888
15.9,23.3,27.1,32.1,68.10000000000001,126.89999999999999,152.1,144.76666666666665
13.3,18.7,21.9,27.4,67.1222222222222,56.01111111111113,52.9888888888889,89.15555555555554
9.1,15.2,18.3,22.9,68.32222222222222,65.95555555555556,69.12222222222222,67.65555555555555
14.7,21.6,24.7,30.6,85.7888888888889,84.71111111111112,70.45555555555556,75.15555555555555
12.2,20.1,21.4,30.4,71.51111111111112,58.98888888888889,59.82222222222222,65.59999999999998
13.1,22.0,24.4,30.3,56.98888888888889,55.77777777777778,65.82222222222222,74.67777777777779
6.6,13.7,16.9,24.0,23.377777777777776,35.56666666666667,28.099999999999998,71.1111111111111
14.0,20.0,23.3,28.7,78.66666666666667,89.99999999999999,140.23333333333335,125.3444444444444
12.4,19.5,22.7,29.5,23.37777777777778,37.3888888888889,32.23333333333333,34.05555555555556
13.2,19.5,21.8,26.2,38.400000000000006,22.27777777777778,24.399999999999995,22.177777777777777
13.7,19.7,24.2,29.8,65.56666666666668,61.12222222222221,68.6222222222222,85.73333333333332
13.4,18.9,22.0,26.8,45.15555555555555,55.21111111111111,64.44444444444444,97.2888888888889
14.8,22.2,25.9,31.1,54.84444444444445,43.955555555555556,56.099999999999994,45.43333333333334
11.6,17.9,21.8,26.8,67.82222222222222,57.87777777777777,77.51111111111112,75.5111111111111
14.5,21.7,24.5,30.0,106.27777777777777,152.45555555555558,194.94444444444446,202.8888888888889
13.4,21.5,23.9,26.6,146.7111111111111,142.72222222222226,139.87777777777782,144.7111111111111
15.8,23.5,27.0,34.4,44.62222222222223,43.83333333333334,30.666666666666668,42.044444444444444
